,"Variable:/:A:Value"
31.1000000000002,815.1
31.2000000000002,813.08
31.3000000000002,811.2
31.4000000000002,809.18
31.5000000000002,807.42
31.6000000000002,804.8
31.7000000000002,802.7
31.8000000000002,800.4
31.9000000000002,798.44
32.0000000000002,796.64
32.1000000000002,794.58
32.2000000000002,792.22
32.3000000000002,790.22
32.4000000000002,788.38
32.5000000000002,786.6
32.6000000000002,784.48
32.7000000000002,782.48
32.8000000000002,780.72
32.9000000000002,778.42
33.0000000000002,776.56
33.1000000000002,774.64
33.2000000000002,772.38
33.3000000000002,770.5
33.4000000000002,768.44
33.5000000000002,766.66
33.6000000000002,764.62
33.7000000000002,762.82
33.8000000000002,760.68
33.9000000000002,758.98
34.0000000000002,757.18
34.1000000000002,755.46
34.2000000000002,753.68
34.3000000000002,751.84
34.4000000000002,750
34.5000000000002,748
34.6000000000002,746.42
34.7000000000002,744.94
34.8000000000002,743.4
34.9000000000002,741.52
35.0000000000002,739.88
35.1000000000002,737.9
35.2000000000002,736.1
35.3000000000002,734.5
35.4000000000002,732.7
35.5000000000002,731.42
35.6000000000002,729.92
35.7000000000002,728.64
35.8000000000002,727.06
35.9000000000002,725.6
36.0000000000002,724
36.1000000000002,722.38
36.2000000000002,720.8
36.3000000000002,719.34
36.4000000000002,717.46
36.5000000000002,716
36.6000000000003,714.34
36.7000000000003,712.46
36.8000000000003,710.54
36.9000000000003,708.88
37.0000000000003,707.32
37.1000000000003,705.86
37.2000000000003,704.28
37.3000000000003,702.54
37.4000000000003,701.04
37.5000000000003,699.28
37.6000000000003,697.86
37.7000000000003,696.36
37.8000000000003,694.96
37.9000000000003,693.58
38.0000000000003,692.04
38.1000000000003,690.34
38.2000000000003,688.52
38.3000000000003,686.96
38.4000000000003,685.3
38.5000000000003,683.72
38.6000000000003,682.08
38.7000000000003,680.96
38.8000000000003,679.28
38.9000000000003,678.04
39.0000000000003,676.66
39.1000000000003,675.04
39.2000000000003,673.8
39.3000000000003,672.48
39.4000000000003,671.14
39.5000000000003,669.64
39.6000000000003,667.88
39.7000000000003,666.4
39.8000000000003,664.84
39.9000000000003,663.58
40.0000000000003,662.48
40.1000000000003,660.9
40.2000000000003,659.6
40.3000000000003,658.42
40.4000000000003,657.02
40.5000000000003,655.88
40.6000000000003,654.76
40.7000000000003,653.02
40.8000000000003,651.48
40.9000000000003,650.02
41.0000000000003,648.82
41.1000000000003,647.54
41.2000000000003,646.26
41.3000000000003,645.18
41.4000000000003,644.06
41.5000000000003,642.84
41.6000000000003,641.4
41.7000000000003,639.96
41.8000000000003,638.76
41.9000000000003,637.66
42.0000000000003,636.46
42.1000000000003,635.38
42.2000000000003,633.9
42.3000000000003,632.58
42.4000000000003,631.12
42.5000000000003,629.86
42.6000000000003,628.78
42.7000000000003,627.18
42.8000000000003,625.72
42.9000000000003,624.48
43.0000000000003,623.04
43.1000000000003,621.86
43.2000000000003,620.8
43.3000000000003,619.22
43.4000000000003,618.04
43.5000000000003,616.54
43.6000000000003,615.2
43.7000000000004,614
43.8000000000004,612.86
43.9000000000004,611.84
44.0000000000004,610.68
44.1000000000004,609.58
44.2000000000004,608.44
44.3000000000004,607.3
44.4000000000004,606.26
44.5000000000004,605.3
44.6000000000004,604.02
44.7000000000004,602.92
44.8000000000004,601.66
44.9000000000004,600.52
45.0000000000004,599.62
45.1000000000004,598.44
45.2000000000004,597.26
45.3000000000004,596.38
45.4000000000004,595.28
45.5000000000004,593.92
